_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,source_gold,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user,what_gold,when_gold,where_gold,address2,point,latitude,longitude
227175857,True,golden,8,12/8/2012 19:09:26,,A hurricane sighting has been reported,0.7629,Storm just now hitting Jersey All bridges closing in NYC & Jersey All bridges closing Storm All bridges closing in NYC & Jersey Storm just now hitting Jersey Storm just now hitting Jersey Storm just now hitting,now now just now n/a N/A now now just now,Jersey City ,Informative (Direct or Indirect),,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Caution and advice,A hurricane sighting has been reported,beball,hitting Jersey All bridges closing in NYC & Jersey Storm just now hitting Jersey Storm,now,NYC Jersey Jersey NYC & Jersey,"Jersey City, Hudson County, New Jersey, United States","40.7215682, -74.047455",40.7215682,-74.047455
227175857,True,golden,8,12/8/2012 19:09:26,,A hurricane sighting has been reported,0.7629,Storm just now hitting Jersey All bridges closing in NYC & Jersey All bridges closing Storm All bridges closing in NYC & Jersey Storm just now hitting Jersey Storm just now hitting Jersey Storm just now hitting,now now just now n/a N/A now now just now,Milford ,Informative (Direct or Indirect),,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Caution and advice,A hurricane sighting has been reported,beball,hitting Jersey All bridges closing in NYC & Jersey Storm just now hitting Jersey Storm,now,NYC Jersey Jersey NYC & Jersey,"Milford, New Haven County, Connecticut, United States","41.2222218, -73.0570603",41.2222218,-73.0570603
227175857,True,golden,8,12/8/2012 19:09:26,,A hurricane sighting has been reported,0.7629,Storm just now hitting Jersey All bridges closing in NYC & Jersey All bridges closing Storm All bridges closing in NYC & Jersey Storm just now hitting Jersey Storm just now hitting Jersey Storm just now hitting,now now just now n/a N/A now now just now,New York ,Informative (Direct or Indirect),,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Storm just now hitting Jersey...Milford is feeling it big time. All bridges closing in NYC & Jersey. Wow... #sandy,Caution and advice,A hurricane sighting has been reported,beball,hitting Jersey All bridges closing in NYC & Jersey Storm just now hitting Jersey Storm,now,NYC Jersey Jersey NYC & Jersey,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175859,False,golden,1,11/25/2012 17:31:06,,Other,1.0,Hurricane Sandy is going to fill the subways with water,,New York ,Informative (Direct or Indirect),,Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,RT @JessieWessie33: Hurricane Sandy is going to fill the subways with water. There will literally be giant underground rivers running beneath NYC. #HolyShit,Caution and advice,Other,britthanus, fill the subways with water,,NYC,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175860,True,golden,34,12/10/2012 06:05:12,,A hurricane sighting has been reported,0.7427,NYC is now impacted by hurricane impacted hurricane #Sandy impacted by hurricane hurricane #Sandy hurricane impacted by hurricane impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted hurricane hurricane #Sandy NYC is now impacted by hurricane impacted by hurricane impacted by hurricane hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane hurricane hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane NYC is now impacted by hurricane hurricane #Sandy impacted by hurricane Omg NYC is now impacted by hurricane impacted by hurricane NYC is now impacted by hurricane,"now now  now n/a n/a N/A now  now now now now now  now N/A ""N/A""  now  now now n/a now now  N/A now now n/a  now N/A",New York ,Informative (Direct or Indirect),,Omg NYC is now impacted by hurricane #Sandy,Omg NYC is now impacted by hurricane #Sandy,Caution and advice,A hurricane sighting has been reported,BuniYani,Impacted NYC is now impacted by hurricane impacted by hurricane hurricane,Now,NYC NYC,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175862,True,golden,31,12/10/2012 06:08:53,,Other,0.9531,stock market closing stock market closing for bad weather stock market closing stock market closing stock market closing stock market closing for bad weather stock market closing stock market closing stock market closing stock market closing stock market closing stock market closing stock market closing stock market closing stock market closing stock market closing for bad weather stock market closing for bad weather bad weather #sandy closing stock market closing stock market closing for bad weather First time since 1888 stock market closing for bad weather stock market closing for bad weather First time since 1888 stock market closing for bad weather stock market closing for bad weather stock market closing stock market closing stock market closing stock market closing for bad weather stock market closing First time since 1888 stock market closing for bad weather,n/a  na N/A N/A  1988   N/A  N/A since 1888 since 1888 n/a First time since 1888 First time since 1888 N/a na n/a  N/A N/A N/A N/A  N/A N/A First time since 1888 since 1888 N/A,Nan ,Informative (Direct or Indirect),,First time since 1888 stock market closing for bad weather #Sandy,First time since 1888 stock market closing for bad weather #Sandy,Caution and advice,Other,feverplay_xo,stock market closing stock market closing for bad weather stock market closing First time since 1888 stock market closing for bad weather bad weather,N/A n/a,N/A n/a,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175867,False,golden,1,11/25/2012 17:24:06,,A hurricane sighting has been reported,1.0,Hurricane Sandy,,New York ,Informative (Direct or Indirect),,Hurricane Sandy or else Frankestorm heading toward NYC ,RT @KateNinaA: Hurricane Sandy or else Frankestorm heading toward NYC ,Caution and advice,A hurricane sighting has been reported Other,LuciiAgudo,Hurricane Sandy or else Frankestorm,,heading toward NYC,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175868,False,golden,1,11/25/2012 17:17:44,,Other,1.0,NYC closing bridges and tunnels,at 7pm,New York ,Informative (Direct or Indirect),,NYC closing bridges and tunnels at 7pm #Sandy,NYC closing bridges and tunnels at 7pm #Sandy,Caution and advice,Other,MikeBeam,NYC closing bridges and tunnels,at 7pm,,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
227175869,True,golden,22,12/10/2012 06:12:57,,Other,1.0,water coming out of your faucet water water coming out of your faucet If you have water coming out of your faucet it is safe to drink If you have water coming out of your faucet it is safe to drink water coming out of your faucet If you have water coming out of your faucet it is safe to drink water coming out of your faucet water coming out of your faucet it is safe to drink If you have water coming out of your faucet it is safe to drink safe water safe water it is safe to drink If you have water coming out of your faucet it is safe to drink If you have water coming out water coming out of your faucet water coming out of your faucet water coming out of your faucet it is safe to drink If you have water coming out of your faucet it is safe to drink water coming out of your faucet water coming out of your faucet water coming out of your faucet it is safe to drink,na n/a N/A N/A   N/A N/A   n/a n/a na N/A N/A  N/A n/a    N/A,Nan ,Informative (Direct or Indirect),,If you have water coming out of your faucet it is safe to drink. #Sandy,RT @NYCMayorsOffice: If you have water coming out of your faucet it is safe to drink. #Sandy,Caution and advice,Other,nathancreitz,water coming out of your faucet,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia","46.3144754, 11.0480288",46.3144754,11.0480288
227175874,False,golden,1,11/25/2012 17:24:06,,Other,1.0,Find open pharmacies,,New York ,Informative (Direct or Indirect),@RxResponse @WPIX #PSRT #MedsInDisaster,Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Find open pharmacies after #Frankenstorm #Sandy in the NYC area @RxResponse @WPIX #PSRT #MedsInDisaster,Caution and advice,Other,RxResponse,open pharmacies Find open pharmacies pharmacies Find open pharmacies after #Frankenstorm #Sandy in the NYC area Sandy,after #Frankenstorm #Sandy,in the NYC area NYC in the NYC area the NYC area,"City of New York, New York, United States","40.7127281, -74.0060152",40.7127281,-74.0060152
